top_n,SMA_S,SMA_L,stop,rolling_l,rolling_m,rolling_s,tot_ret,cagr,sharpe,perf_score,max_dd
"(30, 20, 2)",8,325,5,4,6,7,125.94,0.46,6.66,838.76,-0.27
"(30, 20, 2)",8,353,5,4,6,7,124.05,0.46,6.64,823.69,-0.27
"(30, 20, 2)",8,381,5,4,6,7,121.58,0.45,6.61,803.64,-0.29
"(30, 20, 2)",8,297,5,4,6,7,117.77,0.45,6.68,786.7,-0.25
"(30, 20, 2)",8,265,5,3,6,7,126.33,0.46,6.21,784.51,-0.25
"(30, 20, 2)",8,265,5,4,7,7,116.08,0.45,6.66,773.09,-0.25
"(30, 20, 2)",11,265,5,4,6,7,115.69,0.45,6.66,770.5,-0.25
"(30, 20, 2)",8,265,5,4,5,7,115.21,0.45,6.66,767.3,-0.25
"(30, 20, 2)",8,265,5,4,8,7,112.73,0.45,6.63,747.4,-0.25
"(30, 20, 2)",8,265,5,5,6,7,110.65,0.44,6.55,724.76,-0.25
"(30, 20, 2)",8,265,6,4,6,7,109.7,0.44,6.59,722.92,-0.25
"(30, 20, 2)",7,265,5,4,6,7,109.7,0.44,6.59,722.92,-0.25
"(30, 20, 2)",8,269,5,4,6,7,109.7,0.44,6.59,722.92,-0.25
"(30, 20, 2)",8,265,2,4,6,7,109.7,0.44,6.59,722.92,-0.25
"(30, 20, 2)",8,265,4,4,6,7,109.7,0.44,6.59,722.92,-0.25
"(30, 20, 2)",8,265,3,4,6,7,109.7,0.44,6.59,722.92,-0.25
"(30, 20, 2)",8,265,5,4,6,7,109.7,0.44,6.59,722.92,-0.25
"(30, 20, 2)",8,265,5,13,5,7,107.58,0.44,6.6,710.03,-0.25
"(30, 20, 2)",9,265,5,4,6,7,107.76,0.44,6.57,707.98,-0.25
"(30, 20, 2)",10,265,5,4,6,7,107.76,0.44,6.57,707.98,-0.25
"(30, 20, 2)",8,265,5,12,6,7,106.01,0.44,6.34,672.1,-0.25
"(30, 20, 2)",8,265,5,13,4,7,101.05,0.43,6.5,656.82,-0.25
"(30, 20, 2)",8,265,5,10,6,7,100.85,0.43,6.35,640.4,-0.25
"(30, 20, 2)",3,265,5,4,6,7,99.45,0.43,6.43,639.46,-0.32
"(30, 20, 2)",8,265,5,6,6,7,95.46,0.43,6.37,608.08,-0.25
"(30, 20, 2)",5,265,5,4,6,7,93.79,0.43,6.45,604.95,-0.26
"(30, 20, 2)",6,265,5,4,6,7,93.79,0.43,6.45,604.95,-0.26
