top_n,SMA_S,SMA_L,stop,rolling_l,rolling_m,rolling_s,tot_ret,cagr,sharpe,perf_score,max_dd
"(30, 20, 2)",8,160,21,11,4,7,91.42,0.42,6.32,577.77,-0.28
"(30, 20, 2)",8,160,20,11,6,7,81.87,0.41,6.26,512.51,-0.28
"(30, 20, 2)",8,160,21,11,5,7,82.2,0.41,6.19,508.82,-0.28
"(30, 20, 2)",8,164,21,11,6,7,76.91,0.4,6.11,469.92,-0.3
"(30, 20, 2)",10,160,21,11,6,7,76.91,0.4,6.11,469.92,-0.3
"(30, 20, 2)",8,160,21,11,6,7,76.91,0.4,6.11,469.92,-0.3
"(30, 20, 2)",9,160,21,11,6,7,76.91,0.4,6.11,469.92,-0.3
"(30, 20, 2)",8,130,21,11,6,7,75.92,0.4,6.1,463.11,-0.3
"(30, 20, 2)",8,147,21,11,6,7,73.97,0.4,6.06,448.26,-0.3
"(30, 20, 2)",8,160,21,11,7,7,71.73,0.4,5.99,429.66,-0.37
"(30, 20, 2)",8,232,21,11,6,7,69.82,0.39,6.07,423.81,-0.3
"(30, 20, 2)",8,160,23,11,6,7,70.99,0.39,5.95,422.39,-0.32
"(30, 20, 2)",8,160,26,11,6,7,70.99,0.39,5.95,422.39,-0.32
"(30, 20, 2)",5,160,21,11,6,7,70.19,0.39,6.01,421.84,-0.3
"(30, 20, 2)",4,160,21,11,6,7,70.19,0.39,6.01,421.84,-0.3
"(30, 20, 2)",8,142,21,13,6,7,69.38,0.39,6.02,417.67,-0.3
"(30, 20, 2)",8,160,17,11,6,7,68.83,0.39,6.04,415.73,-0.24
"(30, 20, 2)",7,160,21,11,6,7,69.4,0.39,5.99,415.71,-0.3
"(30, 20, 2)",6,160,21,11,6,7,69.4,0.39,5.99,415.71,-0.3
"(30, 20, 2)",8,160,21,13,4,7,68.55,0.39,6.06,415.41,-0.28
"(30, 20, 2)",8,160,21,11,8,7,69.49,0.39,5.95,413.47,-0.39
"(30, 20, 2)",8,160,21,11,9,7,69.49,0.39,5.95,413.47,-0.39
"(30, 20, 2)",8,160,21,12,6,7,68.95,0.39,5.96,410.94,-0.3
"(30, 20, 2)",8,160,21,5,6,7,68.71,0.39,5.97,410.2,-0.28
"(30, 20, 2)",8,160,21,10,6,7,67.13,0.39,5.95,399.42,-0.3
"(30, 20, 2)",8,113,21,11,6,7,66.59,0.39,5.97,397.54,-0.28
"(30, 20, 2)",8,160,21,9,6,7,66.78,0.39,5.95,397.34,-0.28
"(30, 20, 2)",8,181,21,11,6,7,66.34,0.39,5.97,396.05,-0.3
"(30, 20, 2)",8,215,21,11,6,7,66.22,0.39,5.98,396.0,-0.3
"(30, 20, 2)",8,160,20,13,6,7,64.89,0.39,6.05,392.58,-0.28
"(30, 20, 2)",8,160,21,13,5,7,65.14,0.39,5.99,390.19,-0.28
"(30, 20, 2)",8,184,21,13,6,7,62.93,0.38,5.95,374.43,-0.3
"(30, 20, 2)",8,198,21,11,6,7,62.3,0.38,5.89,366.95,-0.3
"(30, 20, 2)",8,226,21,13,6,7,61.7,0.38,5.94,366.5,-0.3
"(30, 20, 2)",8,160,21,7,6,7,61.41,0.38,5.87,360.48,-0.28
"(30, 20, 2)",8,160,21,6,6,7,61.41,0.38,5.87,360.48,-0.28
"(30, 20, 2)",8,160,21,13,6,7,60.94,0.38,5.91,360.16,-0.3
"(30, 20, 2)",9,160,21,13,6,7,60.94,0.38,5.91,360.16,-0.3
"(30, 20, 2)",8,163,21,13,6,7,60.94,0.38,5.91,360.16,-0.3
"(30, 20, 2)",8,160,29,11,6,7,63.01,0.38,5.71,359.79,-0.35
"(30, 20, 2)",8,160,32,13,6,7,60.86,0.38,5.89,358.47,-0.34
"(30, 20, 2)",11,160,21,11,6,7,60.84,0.38,5.86,356.52,-0.3
"(30, 20, 2)",12,160,21,11,6,7,60.84,0.38,5.86,356.52,-0.3
"(30, 20, 2)",8,205,21,13,6,7,59.09,0.38,5.87,346.86,-0.3
"(30, 20, 2)",8,160,21,8,6,7,59.48,0.38,5.83,346.77,-0.28
"(30, 20, 2)",11,160,21,13,6,7,57.7,0.37,5.84,336.97,-0.3
"(30, 20, 2)",8,121,21,13,6,7,56.35,0.37,5.84,329.08,-0.28
"(30, 20, 2)",8,136,15,13,6,7,56.5,0.37,5.8,327.7,-0.27
"(30, 20, 2)",8,160,23,13,6,7,56.24,0.37,5.74,322.82,-0.32
"(30, 20, 2)",8,160,26,13,6,7,56.24,0.37,5.74,322.82,-0.32
"(30, 20, 2)",8,160,24,13,6,7,56.24,0.37,5.74,322.82,-0.32
"(30, 20, 2)",8,160,21,13,9,7,55.99,0.37,5.76,322.5,-0.37
"(30, 20, 2)",8,160,21,13,7,7,55.99,0.37,5.76,322.5,-0.37
"(30, 20, 2)",5,160,21,13,6,7,55.6,0.37,5.8,322.48,-0.3
"(30, 20, 2)",8,160,14,11,6,7,56.43,0.37,5.71,322.22,-0.27
"(30, 20, 2)",7,160,21,13,6,7,54.97,0.37,5.79,318.28,-0.3
"(30, 20, 2)",8,160,17,13,6,7,54.52,0.37,5.83,317.85,-0.24
"(30, 20, 2)",8,160,18,13,6,7,54.52,0.37,5.83,317.85,-0.24
"(30, 20, 2)",8,160,21,13,8,7,54.23,0.37,5.73,310.74,-0.39
"(30, 20, 2)",8,160,15,13,4,7,53.82,0.37,5.76,310.0,-0.27
"(30, 20, 2)",8,160,15,12,6,7,54.13,0.37,5.67,306.92,-0.27
"(30, 20, 2)",8,160,21,14,6,7,52.56,0.36,5.73,301.17,-0.35
"(30, 20, 2)",13,160,21,13,6,7,52.35,0.36,5.73,299.97,-0.3
"(30, 20, 2)",8,160,15,9,6,7,52.42,0.36,5.66,296.7,-0.27
"(30, 20, 2)",8,160,15,13,5,7,51.13,0.36,5.69,290.93,-0.27
"(30, 20, 2)",8,160,21,11,3,7,51.22,0.36,5.6,286.83,-0.36
"(30, 20, 2)",8,188,15,13,6,7,49.38,0.36,5.66,279.49,-0.27
