top_n,SMA_S,SMA_L,stop,rolling_l,rolling_m,rolling_s,tot_ret,cagr,sharpe,perf_score,max_dd
"(30, 20, 2)",8,256,18,13,7,3,88.47,0.42,6.48,573.29,-0.31
"(30, 20, 2)",8,256,15,13,7,3,88.47,0.42,6.48,573.29,-0.31
"(30, 20, 2)",8,256,10,13,7,3,88.47,0.42,6.48,573.29,-0.31
"(30, 20, 2)",8,256,11,13,7,3,88.47,0.42,6.48,573.29,-0.31
"(30, 20, 2)",8,256,12,13,7,3,88.47,0.42,6.48,573.29,-0.31
"(30, 20, 2)",8,256,13,13,7,3,88.47,0.42,6.48,573.29,-0.31
"(30, 20, 2)",8,256,14,13,7,3,88.47,0.42,6.48,573.29,-0.31
"(30, 20, 2)",8,256,15,13,7,3,88.47,0.42,6.48,573.29,-0.31
"(30, 20, 2)",8,257,15,13,7,3,88.47,0.42,6.48,573.29,-0.31
"(30, 20, 2)",8,256,16,13,7,3,88.47,0.42,6.48,573.29,-0.31
"(30, 20, 2)",8,256,15,13,7,3,88.47,0.42,6.48,573.29,-0.31
"(30, 20, 2)",8,256,17,13,7,3,88.47,0.42,6.48,573.29,-0.31
"(30, 20, 2)",8,256,15,13,7,3,88.47,0.42,6.48,573.29,-0.31
"(30, 20, 2)",8,256,15,13,7,3,88.47,0.42,6.48,573.29,-0.31
"(30, 20, 2)",9,256,15,13,7,3,83.21,0.41,6.39,531.71,-0.31
"(30, 20, 2)",9,204,15,13,7,3,78.02,0.41,6.35,495.43,-0.31
"(30, 20, 2)",8,206,15,13,7,3,78.02,0.41,6.35,495.43,-0.31
"(30, 20, 2)",8,274,15,13,7,3,78.11,0.41,6.26,488.97,-0.31
"(30, 20, 2)",8,273,15,13,7,3,78.11,0.41,6.26,488.97,-0.31
"(30, 20, 2)",8,256,15,13,6,3,77.31,0.4,6.32,488.6,-0.31
"(30, 20, 2)",8,204,18,13,7,3,76.85,0.4,6.33,486.46,-0.31
"(30, 20, 2)",8,204,15,13,7,3,76.85,0.4,6.33,486.46,-0.31
"(30, 20, 2)",8,204,15,13,7,3,76.85,0.4,6.33,486.46,-0.31
"(30, 20, 2)",7,204,15,13,7,3,76.85,0.4,6.33,486.46,-0.31
"(30, 20, 2)",8,188,15,13,7,3,76.85,0.4,6.33,486.46,-0.31
"(30, 20, 2)",8,204,8,13,7,3,76.85,0.4,6.33,486.46,-0.31
"(30, 20, 2)",8,204,20,13,7,3,76.85,0.4,6.33,486.46,-0.31
"(30, 20, 2)",8,204,16,13,7,3,76.85,0.4,6.33,486.46,-0.31
"(30, 20, 2)",8,204,15,13,7,3,76.85,0.4,6.33,486.46,-0.31
"(30, 20, 2)",8,204,14,13,7,3,76.85,0.4,6.33,486.46,-0.31
"(30, 20, 2)",8,204,12,13,7,3,76.85,0.4,6.33,486.46,-0.31
"(30, 20, 2)",8,204,15,13,7,3,76.85,0.4,6.33,486.46,-0.31
"(30, 20, 2)",8,204,10,13,7,3,76.85,0.4,6.33,486.46,-0.31
"(30, 20, 2)",8,205,15,13,7,3,76.85,0.4,6.33,486.46,-0.31
"(30, 20, 2)",8,204,15,13,7,3,76.85,0.4,6.33,486.46,-0.31
"(30, 20, 2)",8,189,15,13,7,3,76.85,0.4,6.33,486.46,-0.31
"(30, 20, 2)",8,256,15,13,8,3,75.39,0.4,6.25,471.19,-0.31
"(30, 20, 2)",8,222,15,13,7,3,74.19,0.4,6.27,465.17,-0.31
"(30, 20, 2)",8,239,15,13,7,3,74.19,0.4,6.27,465.17,-0.31
"(30, 20, 2)",8,240,15,13,7,3,74.19,0.4,6.27,465.17,-0.31
"(30, 20, 2)",8,223,15,13,7,3,74.19,0.4,6.27,465.17,-0.31
"(30, 20, 2)",8,291,15,13,7,3,74.27,0.4,6.18,458.99,-0.35
"(30, 20, 2)",8,204,15,13,5,3,73.12,0.4,6.22,454.81,-0.31
"(30, 20, 2)",8,204,15,13,5,3,73.12,0.4,6.22,454.81,-0.31
"(30, 20, 2)",6,204,15,13,7,3,72.68,0.4,6.24,453.52,-0.31
"(30, 20, 2)",5,204,15,13,7,3,72.68,0.4,6.24,453.52,-0.31
"(30, 20, 2)",8,256,15,13,5,3,73.35,0.4,6.16,451.84,-0.31
"(30, 20, 2)",9,204,15,13,6,3,71.59,0.4,6.26,448.15,-0.31
"(30, 20, 2)",8,204,7,13,6,3,70.52,0.39,6.24,440.04,-0.31
"(30, 20, 2)",7,204,15,13,6,3,70.52,0.39,6.24,440.04,-0.31
"(30, 20, 2)",8,204,15,13,6,3,70.52,0.39,6.24,440.04,-0.31
"(30, 20, 2)",8,204,15,13,6,3,70.52,0.39,6.24,440.04,-0.31
"(30, 20, 2)",8,204,17,13,6,3,70.52,0.39,6.24,440.04,-0.31
"(30, 20, 2)",8,204,15,13,6,3,70.52,0.39,6.24,440.04,-0.31
"(30, 20, 2)",8,204,13,13,6,3,70.52,0.39,6.24,440.04,-0.31
"(30, 20, 2)",8,204,11,13,6,3,70.52,0.39,6.24,440.04,-0.31
"(30, 20, 2)",8,204,9,13,6,3,70.52,0.39,6.24,440.04,-0.31
"(30, 20, 2)",8,204,15,13,6,3,70.52,0.39,6.24,440.04,-0.31
"(30, 20, 2)",8,204,15,13,6,3,70.52,0.39,6.24,440.04,-0.31
"(30, 20, 2)",8,204,21,13,6,3,70.52,0.39,6.24,440.04,-0.31
"(30, 20, 2)",8,204,15,13,6,3,70.52,0.39,6.24,440.04,-0.31
"(30, 20, 2)",8,204,15,13,6,3,70.52,0.39,6.24,440.04,-0.31
"(30, 20, 2)",8,204,19,13,6,3,70.52,0.39,6.24,440.04,-0.31
"(30, 20, 2)",8,325,15,13,7,3,72.09,0.4,6.08,438.31,-0.42
"(30, 20, 2)",8,137,15,13,7,3,68.18,0.39,6.18,421.35,-0.35
"(30, 20, 2)",8,246,15,13,6,3,68.07,0.39,6.18,420.67,-0.31
"(30, 20, 2)",8,246,15,13,6,3,68.07,0.39,6.18,420.67,-0.31
"(30, 20, 2)",8,225,15,13,6,3,68.07,0.39,6.18,420.67,-0.31
"(30, 20, 2)",8,225,15,13,6,3,68.07,0.39,6.18,420.67,-0.31
"(30, 20, 2)",8,267,15,13,6,3,68.24,0.39,6.1,416.26,-0.31
"(30, 20, 2)",8,120,15,13,7,3,67.76,0.39,6.14,416.05,-0.35
