top_n,SMA_S,SMA_L,stop,rolling_l,rolling_m,rolling_s,tot_ret,cagr,sharpe,perf_score,max_dd
"(40, 20, 2)",92,242,17,20,13,7,3.23,0.12,2.42,7.82,-0.14
"(40, 20, 2)",92,242,13,20,13,7,3.23,0.12,2.42,7.82,-0.14
"(40, 20, 2)",92,242,11,20,13,7,3.23,0.12,2.42,7.82,-0.14
"(40, 20, 2)",92,242,5,20,13,7,3.22,0.12,2.43,7.82,-0.14
"(40, 20, 2)",92,242,15,20,13,7,3.23,0.12,2.42,7.82,-0.14
"(40, 20, 2)",92,242,7,20,13,7,3.05,0.11,2.35,7.17,-0.14
"(40, 20, 2)",92,242,3,20,13,7,2.97,0.11,2.36,7.01,-0.14
"(40, 25, 2)",92,242,10,20,13,7,2.96,0.11,2.29,6.78,-0.14
"(40, 20, 2)",92,242,10,21,13,7,2.96,0.11,2.29,6.78,-0.14
"(40, 17, 2)",92,242,10,20,13,7,2.96,0.11,2.29,6.78,-0.14
"(40, 20, 2)",92,242,10,20,13,7,2.96,0.11,2.29,6.78,-0.14
"(40, 33, 2)",92,242,10,20,13,7,2.96,0.11,2.29,6.78,-0.14
"(40, 29, 2)",92,242,10,20,13,7,2.96,0.11,2.29,6.78,-0.14
"(40, 20, 2)",92,242,10,13,13,7,2.96,0.11,2.29,6.78,-0.14
"(40, 21, 2)",92,242,10,20,13,7,2.96,0.11,2.29,6.78,-0.14
"(40, 20, 2)",92,242,10,17,13,7,2.96,0.11,2.29,6.78,-0.14
"(45, 20, 2)",92,242,10,20,13,7,2.96,0.11,2.29,6.78,-0.14
"(38, 20, 2)",92,242,10,20,13,7,2.96,0.11,2.29,6.78,-0.14
"(40, 20, 2)",92,242,10,5,13,7,2.96,0.11,2.29,6.78,-0.14
"(40, 20, 2)",92,242,10,9,13,7,2.96,0.11,2.29,6.78,-0.14
"(40, 20, 2)",92,242,10,29,13,7,2.96,0.11,2.29,6.78,-0.14
