top_n,SMA_S,SMA_L,stop,rolling_l,rolling_m,rolling_s,tot_ret,cagr,sharpe,perf_score,max_dd
"(30, 20, 1)",58,200,2,39,21,13,2.55,0.1,2.18,5.56,-0.12
"(30, 20, 1)",60,200,2,48,21,13,2.51,0.1,2.17,5.45,-0.13
"(30, 16, 1)",60,200,2,39,21,13,2.51,0.1,2.17,5.45,-0.13
"(30, 20, 1)",60,200,2,39,17,13,2.51,0.1,2.17,5.45,-0.13
"(30, 22, 1)",60,200,2,39,21,13,2.51,0.1,2.17,5.45,-0.13
"(30, 25, 1)",60,200,2,39,21,13,2.51,0.1,2.17,5.45,-0.13
"(30, 28, 1)",60,200,2,39,21,13,2.51,0.1,2.17,5.45,-0.13
"(30, 20, 1)",60,200,2,56,21,13,2.51,0.1,2.17,5.45,-0.13
"(30, 20, 1)",60,200,2,20,21,13,2.51,0.1,2.17,5.45,-0.13
"(30, 10, 1)",60,200,2,39,21,13,2.51,0.1,2.17,5.45,-0.13
"(30, 20, 1)",60,200,2,40,21,13,2.51,0.1,2.17,5.45,-0.13
"(30, 20, 1)",60,200,2,36,21,13,2.51,0.1,2.17,5.45,-0.13
"(30, 20, 1)",60,200,2,32,21,13,2.51,0.1,2.17,5.45,-0.13
"(30, 20, 1)",60,200,2,28,21,13,2.51,0.1,2.17,5.45,-0.13
"(30, 20, 1)",60,200,2,24,21,13,2.51,0.1,2.17,5.45,-0.13
"(30, 20, 1)",60,200,2,44,21,13,2.51,0.1,2.17,5.45,-0.13
"(30, 13, 1)",60,200,2,39,21,13,2.51,0.1,2.17,5.45,-0.13
"(30, 19, 1)",60,200,2,39,21,13,2.51,0.1,2.17,5.45,-0.13
"(43, 20, 1)",60,200,2,39,21,13,2.51,0.1,2.17,5.45,-0.13
"(30, 20, 1)",60,200,2,39,29,13,2.51,0.1,2.17,5.45,-0.13
"(27, 20, 1)",60,200,2,39,21,13,2.51,0.1,2.17,5.45,-0.13
"(30, 20, 1)",60,200,2,39,11,13,2.51,0.1,2.17,5.45,-0.13
"(30, 20, 1)",60,200,2,39,14,13,2.51,0.1,2.17,5.45,-0.13
"(39, 20, 1)",60,200,2,39,21,13,2.51,0.1,2.17,5.45,-0.13
"(30, 20, 1)",60,200,2,39,23,13,2.51,0.1,2.17,5.45,-0.13
"(30, 20, 1)",60,200,2,39,26,13,2.51,0.1,2.17,5.45,-0.13
"(30, 20, 1)",60,200,2,39,20,13,2.51,0.1,2.17,5.45,-0.13
"(30, 20, 1)",60,200,2,39,21,13,2.51,0.1,2.17,5.45,-0.13
"(15, 20, 1)",60,200,2,39,21,13,2.51,0.1,2.17,5.45,-0.13
"(19, 20, 1)",60,200,2,39,21,13,2.51,0.1,2.17,5.45,-0.13
"(23, 20, 1)",60,200,2,39,21,13,2.51,0.1,2.17,5.45,-0.13
"(31, 20, 1)",60,200,2,39,21,13,2.51,0.1,2.17,5.45,-0.13
"(30, 20, 1)",60,200,2,52,21,13,2.51,0.1,2.17,5.45,-0.13
"(35, 20, 1)",60,200,2,39,21,13,2.51,0.1,2.17,5.45,-0.13
"(30, 20, 1)",60,203,2,39,21,13,2.48,0.1,2.15,5.33,-0.14
"(30, 20, 1)",60,98,2,39,21,13,2.45,0.1,2.16,5.29,-0.13
"(30, 20, 1)",50,200,2,39,21,15,2.47,0.1,2.1,5.19,-0.14
"(30, 20, 1)",60,200,3,39,21,13,2.44,0.1,2.08,5.08,-0.14
"(30, 20, 1)",67,200,2,39,21,13,2.38,0.1,2.1,5.0,-0.14
"(30, 20, 1)",65,200,2,39,21,13,2.35,0.1,2.09,4.91,-0.15
"(30, 20, 1)",60,224,2,39,21,13,2.33,0.1,2.08,4.85,-0.15
"(30, 20, 1)",60,245,2,39,21,13,2.32,0.1,2.07,4.8,-0.13
"(30, 20, 1)",60,200,2,39,21,15,2.35,0.1,2.04,4.79,-0.17
"(30, 20, 1)",60,182,2,39,21,13,2.3,0.1,2.08,4.78,-0.13
"(30, 20, 1)",50,124,2,39,21,13,2.27,0.1,2.09,4.74,-0.11
"(30, 20, 1)",60,140,2,39,21,13,2.26,0.1,2.08,4.7,-0.13
"(30, 20, 1)",60,119,2,39,21,13,2.24,0.1,2.07,4.64,-0.11
"(30, 20, 1)",53,200,2,39,21,13,2.27,0.1,2.03,4.61,-0.12
"(30, 20, 1)",50,228,2,39,21,13,2.26,0.1,2.03,4.59,-0.14
"(30, 20, 1)",60,200,2,39,21,17,2.27,0.1,2.02,4.59,-0.18
"(30, 20, 1)",50,150,2,39,21,13,2.22,0.09,2.06,4.57,-0.11
"(30, 20, 1)",50,200,2,39,21,17,2.24,0.1,2.0,4.48,-0.15
"(30, 20, 1)",60,161,2,39,21,13,2.18,0.09,2.03,4.43,-0.16
"(30, 20, 1)",74,200,2,39,21,13,2.2,0.09,2.01,4.42,-0.14
"(30, 20, 1)",50,306,2,39,21,13,2.2,0.09,2.0,4.4,-0.18
"(30, 20, 1)",72,200,2,39,21,13,2.17,0.09,1.99,4.32,-0.14
"(30, 20, 1)",60,200,2,39,21,11,2.16,0.09,1.98,4.28,-0.15
"(30, 20, 1)",50,200,2,39,11,13,2.14,0.09,1.97,4.22,-0.12
"(30, 23, 1)",50,200,2,39,21,13,2.14,0.09,1.97,4.22,-0.12
"(30, 17, 1)",50,200,2,39,21,13,2.14,0.09,1.97,4.22,-0.12
"(19, 20, 1)",50,200,2,39,21,13,2.14,0.09,1.97,4.22,-0.12
"(15, 20, 1)",50,200,2,39,21,13,2.14,0.09,1.97,4.22,-0.12
"(30, 20, 1)",50,200,2,39,23,13,2.14,0.09,1.97,4.22,-0.12
"(23, 20, 1)",50,200,2,39,21,13,2.14,0.09,1.97,4.22,-0.12
"(30, 29, 1)",50,200,2,39,21,13,2.14,0.09,1.97,4.22,-0.12
"(30, 20, 1)",50,200,2,39,17,13,2.14,0.09,1.97,4.22,-0.12
"(30, 20, 1)",50,200,2,39,21,13,2.14,0.09,1.97,4.22,-0.12
"(30, 20, 1)",50,200,2,39,14,13,2.14,0.09,1.97,4.22,-0.12
"(27, 20, 1)",50,200,2,39,21,13,2.14,0.09,1.97,4.22,-0.12
"(30, 11, 1)",50,200,2,39,21,13,2.14,0.09,1.97,4.22,-0.12
"(30, 20, 1)",50,200,2,39,26,13,2.14,0.09,1.97,4.22,-0.12
"(30, 26, 1)",50,200,2,39,21,13,2.14,0.09,1.97,4.22,-0.12
"(30, 14, 1)",50,200,2,39,21,13,2.14,0.09,1.97,4.22,-0.12
"(11, 20, 1)",50,200,2,39,21,13,2.14,0.09,1.97,4.22,-0.12
"(35, 20, 1)",50,200,2,39,21,13,2.14,0.09,1.97,4.22,-0.12
"(30, 20, 1)",50,200,2,39,32,13,2.14,0.09,1.97,4.22,-0.12
"(31, 20, 1)",50,200,2,39,21,13,2.14,0.09,1.97,4.22,-0.12
"(30, 8, 1)",50,200,2,39,21,13,2.14,0.09,1.97,4.22,-0.12
"(39, 20, 1)",50,200,2,39,21,13,2.14,0.09,1.97,4.22,-0.12
"(43, 20, 1)",50,200,2,39,21,13,2.14,0.09,1.97,4.22,-0.12
