top_n,SMA_S,SMA_L,stop,rolling_l,rolling_m,rolling_s,tot_ret,cagr,sharpe,perf_score,max_dd
"(30, 20, 2)",4,246,5,13,4,2,23.74,0.28,2.4,56.98,-0.4
"(30, 20, 2)",5,246,5,13,4,2,20.63,0.27,2.32,47.86,-0.46
"(30, 20, 2)",3,246,5,13,4,2,19.56,0.26,2.29,44.79,-0.42
"(30, 20, 2)",8,246,4,13,4,2,18.65,0.26,2.26,42.15,-0.46
"(30, 20, 2)",8,246,3,13,4,2,18.65,0.26,2.26,42.15,-0.46
"(30, 20, 2)",8,246,2,13,4,2,18.65,0.26,2.26,42.15,-0.46
"(30, 20, 2)",8,246,6,13,4,2,18.65,0.26,2.26,42.15,-0.46
"(30, 20, 2)",8,246,5,13,4,2,18.65,0.26,2.26,42.15,-0.46
"(30, 20, 2)",8,204,5,13,4,2,18.49,0.26,2.26,41.79,-0.46
"(30, 20, 2)",6,246,5,13,4,2,18.51,0.26,2.25,41.65,-0.46
"(30, 20, 2)",8,250,5,13,4,2,18.46,0.26,2.25,41.54,-0.46
"(30, 20, 2)",7,246,5,13,4,2,18.44,0.26,2.25,41.49,-0.46
"(30, 20, 2)",8,225,5,13,4,2,18.32,0.26,2.25,41.22,-0.46
"(30, 20, 2)",10,246,5,13,4,2,17.86,0.25,2.23,39.83,-0.4
"(30, 20, 2)",11,246,5,13,4,2,17.72,0.25,2.23,39.52,-0.38
"(30, 20, 2)",8,354,5,13,4,2,17.66,0.25,2.18,38.5,-0.39
"(30, 20, 2)",8,224,5,13,4,2,17.24,0.25,2.21,38.1,-0.46
"(30, 20, 2)",12,160,5,13,4,2,17.16,0.25,2.21,37.92,-0.4
"(30, 20, 2)",8,198,5,13,4,2,17.0,0.25,2.2,37.4,-0.46
"(30, 20, 2)",8,246,5,13,2,2,17.04,0.25,2.19,37.32,-0.44
"(30, 20, 2)",10,160,5,13,4,2,16.84,0.25,2.2,37.05,-0.37
"(30, 20, 2)",8,246,5,12,4,2,16.7,0.25,2.18,36.41,-0.42
"(30, 20, 2)",8,328,5,13,4,2,16.68,0.25,2.15,35.86,-0.39
"(30, 20, 2)",8,246,5,13,3,2,16.51,0.25,2.17,35.83,-0.46
"(30, 20, 2)",9,246,5,13,4,2,16.11,0.25,2.18,35.12,-0.46
"(30, 20, 2)",8,276,5,13,4,2,16.17,0.25,2.16,34.93,-0.46
"(30, 20, 2)",8,183,5,13,4,2,15.92,0.24,2.17,34.55,-0.46
"(30, 20, 2)",8,172,5,13,4,2,15.96,0.24,2.16,34.47,-0.4
"(30, 20, 2)",8,246,5,13,1,2,15.57,0.24,2.11,32.85,-0.44
"(30, 20, 2)",8,302,5,13,4,2,15.32,0.24,2.1,32.17,-0.4
"(30, 20, 2)",8,160,5,13,4,2,14.06,0.23,2.1,29.53,-0.38
"(30, 20, 2)",8,160,3,13,4,2,14.06,0.23,2.1,29.53,-0.38
"(30, 20, 2)",8,160,2,13,4,2,14.06,0.23,2.1,29.53,-0.38
"(30, 20, 2)",8,160,7,13,4,2,14.06,0.23,2.1,29.53,-0.38
"(30, 20, 2)",8,162,5,13,4,2,14.06,0.23,2.1,29.53,-0.38
"(30, 20, 2)",8,160,6,13,4,2,14.06,0.23,2.1,29.53,-0.38
"(30, 20, 2)",8,160,4,13,4,2,14.06,0.23,2.1,29.53,-0.38
"(30, 20, 2)",8,160,1,13,4,2,14.06,0.23,2.1,29.53,-0.38
"(30, 20, 2)",6,160,5,13,4,2,13.08,0.23,2.06,26.94,-0.38
"(30, 20, 2)",8,160,5,13,2,2,12.84,0.23,2.04,26.19,-0.35
"(30, 20, 2)",8,246,5,13,5,2,12.78,0.22,2.02,25.82,-0.47
"(30, 20, 2)",8,160,5,13,3,2,12.52,0.22,2.03,25.42,-0.38
"(30, 20, 2)",8,146,5,13,4,2,11.58,0.22,1.99,23.04,-0.38
"(30, 20, 2)",8,160,5,13,1,2,11.52,0.22,1.95,22.46,-0.36
"(30, 20, 2)",8,160,5,12,4,2,11.25,0.21,1.97,22.16,-0.38
"(30, 20, 2)",8,246,5,16,4,2,11.04,0.21,1.93,21.31,-0.47
"(30, 20, 2)",8,160,5,13,8,2,10.6,0.21,1.94,20.56,-0.4
"(30, 20, 2)",4,160,5,13,4,2,10.32,0.21,1.93,19.92,-0.4
"(30, 20, 2)",8,246,5,18,4,2,10.08,0.2,1.9,19.15,-0.46
"(30, 20, 2)",8,239,5,13,6,2,10.01,0.2,1.89,18.92,-0.46
"(30, 20, 2)",8,99,5,13,4,2,9.77,0.2,1.89,18.47,-0.37
"(30, 20, 2)",8,246,5,10,4,2,9.79,0.2,1.84,18.01,-0.51
"(30, 20, 2)",13,160,5,13,6,2,9.59,0.2,1.87,17.93,-0.41
"(30, 20, 2)",8,141,5,13,4,2,9.38,0.2,1.86,17.45,-0.42
"(30, 20, 2)",8,213,5,13,6,2,9.33,0.2,1.86,17.35,-0.46
"(30, 20, 2)",11,160,5,13,6,2,9.11,0.2,1.84,16.76,-0.42
"(30, 20, 2)",8,265,5,13,6,2,9.03,0.19,1.83,16.52,-0.47
"(30, 20, 2)",8,160,5,13,9,2,9.0,0.19,1.82,16.38,-0.43
"(30, 20, 2)",8,160,5,13,5,2,8.87,0.19,1.82,16.14,-0.43
"(30, 20, 2)",8,187,5,13,6,2,8.68,0.19,1.82,15.8,-0.47
"(30, 20, 2)",8,120,5,13,4,2,8.47,0.19,1.8,15.25,-0.45
"(30, 20, 2)",8,160,5,18,4,2,8.36,0.19,1.81,15.13,-0.38
"(30, 20, 2)",8,246,5,14,4,2,8.39,0.19,1.75,14.68,-0.51
"(30, 20, 2)",8,78,5,13,4,2,8.12,0.19,1.8,14.62,-0.37
"(30, 20, 2)",2,160,5,13,4,2,7.99,0.18,1.78,14.22,-0.45
"(30, 20, 2)",8,246,5,8,4,2,8.08,0.19,1.75,14.14,-0.47
"(30, 20, 2)",8,160,5,13,7,2,7.54,0.18,1.73,13.04,-0.43
"(30, 20, 2)",8,160,5,16,4,2,7.55,0.18,1.72,12.99,-0.41
"(30, 20, 2)",9,160,5,13,6,2,7.09,0.18,1.7,12.05,-0.43
"(30, 20, 2)",8,160,1,13,6,2,6.86,0.17,1.69,11.59,-0.43
"(30, 20, 2)",8,160,2,13,6,2,6.86,0.17,1.69,11.59,-0.43
"(30, 20, 2)",8,160,8,13,6,2,6.86,0.17,1.69,11.59,-0.43
"(30, 20, 2)",8,160,5,13,6,2,6.86,0.17,1.69,11.59,-0.43
"(30, 20, 2)",8,160,7,13,6,2,6.86,0.17,1.69,11.59,-0.43
"(30, 20, 2)",8,160,4,13,6,2,6.86,0.17,1.69,11.59,-0.43
"(30, 20, 2)",8,160,6,13,6,2,6.86,0.17,1.69,11.59,-0.43
"(30, 20, 2)",8,160,0,13,6,2,6.86,0.17,1.69,11.59,-0.43
"(30, 20, 2)",8,160,3,13,6,2,6.86,0.17,1.69,11.59,-0.43
"(30, 20, 2)",8,161,5,13,6,2,6.86,0.17,1.69,11.59,-0.43
"(30, 20, 2)",7,160,5,13,6,2,6.81,0.17,1.68,11.44,-0.42
"(30, 20, 2)",8,57,5,13,4,2,6.35,0.17,1.71,10.86,-0.41
"(30, 20, 2)",8,160,5,11,6,2,6.15,0.16,1.62,9.96,-0.41
"(30, 20, 2)",5,160,5,13,6,2,6.14,0.16,1.62,9.95,-0.41
"(30, 20, 2)",8,160,5,8,6,2,5.9,0.16,1.59,9.38,-0.38
"(30, 20, 2)",8,160,5,8,4,2,5.77,0.16,1.57,9.06,-0.45
"(30, 20, 2)",8,160,5,10,4,2,5.6,0.16,1.54,8.62,-0.52
"(30, 20, 2)",8,160,5,14,4,2,5.5,0.16,1.53,8.42,-0.43
"(30, 20, 2)",8,246,5,6,4,2,5.5,0.16,1.52,8.36,-0.51
"(30, 20, 2)",8,160,5,4,4,2,4.85,0.15,1.46,7.08,-0.47
"(30, 20, 2)",8,160,5,2,6,2,4.66,0.14,1.42,6.62,-0.47
"(30, 20, 2)",8,135,5,13,6,2,4.15,0.13,1.4,5.81,-0.43
"(30, 20, 2)",8,109,5,13,6,2,4.1,0.13,1.4,5.74,-0.45
"(30, 20, 2)",8,160,5,17,6,2,4.05,0.13,1.38,5.59,-0.46
"(30, 20, 2)",3,160,5,13,6,2,3.86,0.13,1.37,5.29,-0.46
"(30, 20, 2)",8,160,5,14,6,2,3.86,0.13,1.34,5.17,-0.48
"(30, 20, 2)",8,160,5,6,4,2,3.62,0.13,1.3,4.71,-0.47
"(30, 20, 2)",8,160,5,20,4,2,3.56,0.12,1.31,4.66,-0.44
"(30, 20, 2)",8,160,5,5,6,2,3.56,0.12,1.3,4.63,-0.43
"(30, 20, 2)",8,83,5,13,6,2,3.43,0.12,1.31,4.49,-0.4
"(30, 20, 2)",1,160,5,13,6,2,3.4,0.12,1.3,4.42,-0.48
"(30, 20, 2)",8,57,5,13,6,2,3.12,0.12,1.31,4.09,-0.42
"(30, 20, 2)",8,193,5,13,6,4,2.78,0.11,1.18,3.28,-0.46
"(30, 20, 2)",8,289,5,13,6,4,2.79,0.11,1.16,3.24,-0.45
"(30, 20, 2)",8,257,5,13,6,4,2.66,0.11,1.14,3.03,-0.46
