top_n,SMA_S,SMA_L,stop,rolling_l,rolling_m,rolling_s,tot_ret,cagr,sharpe,perf_score,max_dd
"(40, 21, 2)",10,215,10,17,13,31,53.76,0.36,2.62,140.85,-0.28
"(42, 20, 2)",10,215,10,17,13,31,51.24,0.36,2.6,133.22,-0.28
"(40, 20, 2)",10,198,10,17,13,31,50.86,0.36,2.6,132.24,-0.28
"(40, 20, 2)",10,215,10,17,13,30,51.48,0.36,2.55,131.27,-0.36
"(43, 20, 2)",10,215,10,17,13,31,50.34,0.36,2.59,130.38,-0.28
"(41, 20, 2)",10,215,10,17,13,31,50.12,0.36,2.59,129.81,-0.28
"(40, 20, 2)",10,215,10,17,13,31,49.98,0.35,2.59,129.45,-0.28
"(40, 20, 2)",10,219,10,17,13,31,49.98,0.35,2.59,129.45,-0.28
"(40, 20, 2)",10,216,10,17,13,31,49.98,0.35,2.59,129.45,-0.28
"(40, 20, 2)",10,218,10,17,13,31,49.98,0.35,2.59,129.45,-0.28
"(40, 20, 2)",10,217,10,17,13,31,49.98,0.35,2.59,129.45,-0.28
"(40, 20, 2)",10,204,10,17,13,31,49.95,0.35,2.59,129.37,-0.28
"(40, 20, 2)",10,202,10,17,13,31,49.95,0.35,2.59,129.37,-0.28
"(40, 20, 2)",10,215,10,18,13,31,49.54,0.35,2.58,127.81,-0.26
"(40, 20, 2)",10,215,10,16,13,31,49.37,0.35,2.58,127.37,-0.28
"(40, 20, 2)",10,213,10,17,13,31,49.02,0.35,2.58,126.47,-0.28
"(40, 20, 2)",10,214,10,17,13,31,49.02,0.35,2.58,126.47,-0.28
"(37, 20, 2)",10,215,10,17,13,31,48.9,0.35,2.58,126.16,-0.28
"(40, 21, 2)",10,200,10,17,13,31,48.9,0.35,2.58,126.16,-0.28
"(38, 20, 2)",10,215,10,17,13,31,48.9,0.35,2.58,126.16,-0.28
"(40, 20, 2)",10,205,10,17,13,31,48.72,0.35,2.58,125.7,-0.28
"(40, 20, 2)",10,220,10,17,13,31,48.63,0.35,2.57,124.98,-0.28
"(40, 20, 2)",10,223,10,17,13,31,48.63,0.35,2.57,124.98,-0.28
"(40, 20, 2)",10,195,10,17,13,31,48.63,0.35,2.57,124.98,-0.28
"(40, 20, 2)",10,222,10,17,13,31,48.63,0.35,2.57,124.98,-0.28
"(39, 20, 2)",10,215,10,17,13,31,48.22,0.35,2.57,123.93,-0.28
"(40, 20, 2)",10,206,10,17,13,31,48.06,0.35,2.57,123.51,-0.28
"(40, 20, 2)",10,208,10,17,13,31,48.06,0.35,2.57,123.51,-0.28
"(40, 20, 2)",10,207,10,17,13,31,48.06,0.35,2.57,123.51,-0.28
"(40, 19, 2)",10,215,10,17,13,31,47.73,0.35,2.57,122.67,-0.28
"(40, 20, 2)",9,200,10,17,13,31,47.44,0.35,2.58,122.4,-0.22
"(40, 20, 2)",10,210,10,17,13,31,47.72,0.35,2.56,122.16,-0.28
"(42, 20, 2)",10,200,10,17,13,31,46.61,0.35,2.56,119.32,-0.28
"(40, 20, 2)",10,200,10,17,13,30,47.04,0.35,2.51,118.07,-0.38
"(36, 20, 2)",10,200,10,17,13,31,46.25,0.35,2.55,117.94,-0.28
"(40, 20, 2)",10,225,10,17,13,31,46.24,0.35,2.54,117.45,-0.28
"(43, 20, 2)",10,200,10,17,13,31,45.79,0.35,2.55,116.76,-0.28
